#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55369.9232	0.191	2.07	1.07	-0.69	212.28	4.33	2.11	KPNO   
55732.8574	0.195	1.49	1.11	-1.09	205.63	4.44	-6.17	KPNO   
55815.8979	0.676	41.49	1.62	-1.14	-161.93	5.51	-0.93	KPNO   
56077.9534	0.139	7.58	1.10	1.24	182.67	4.58	5.94	KPNO   
56078.7629	0.641	40.59	1.11	0.56	-138.54	4.68	-1.78	KPNO   
56078.8440	0.692	42.68	1.07	-0.80	-173.24	4.48	-4.34	KPNO   
56078.9357	0.748	46.08	1.18	1.15	-181.91	4.85	0.62	KPNO   
56079.7925	0.280	5.07	1.23	3.41	212.05	4.87	-8.52	KPNO   
56081.9642	0.626	37.53	1.25	-1.10	-119.83	4.87	3.84	KPNO   
56082.8204	0.157	4.08	1.09	-0.84	194.75	4.54	4.78	KPNO   
56082.8833	0.196	1.17	1.12	-1.37	212.94	4.66	0.70	KPNO   
56082.9468	0.235	1.47	1.14	0.09	224.05	4.47	0.94	KPNO   
56488.7439	0.812	46.72	2.70	3.42	-158.55	9.18	8.92	KPNO  
