#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55368.6964	0.915	26.45	4.37	-7.31	-74.63	2.87	4.25	KPNO   
55369.6875	0.316	-138.28	3.22	-3.89	80.46	2.10	3.73	KPNO   
55369.7405	0.337	-137.22	3.48	-10.18	74.33	2.31	4.40	KPNO   
55369.7709	0.350	-120.84	3.19	1.07	63.50	2.07	-1.68	KPNO   
55369.8190	0.369	-107.08	3.16	5.48	53.27	2.05	-3.26	KPNO   
55401.8413	0.332	-144.06	6.35	-14.85	72.96	4.41	1.02	DAO    
55401.9126	0.361	-110.21	6.31	6.70	59.84	4.36	-0.71	DAO    
55405.7796	0.927	25.74	7.11	-1.42	-62.75	4.88	10.02	DAO    
55431.7139	0.425	-65.02	3.88	14.49	14.66	2.45	-11.28	KPNO   
55432.7500	0.844	71.84	3.10	3.46	-110.99	1.99	-0.07	KPNO   
55432.7820	0.857	67.42	3.18	4.16	-106.47	2.06	-0.29	KPNO   
55432.8480	0.884	58.27	3.62	7.28	-93.67	2.37	1.15	KPNO   
55432.9085	0.909	35.85	3.68	-2.08	-75.32	2.30	7.42	KPNO   
55716.9126	0.877	50.85	3.23	-5.97	-105.56	2.05	-5.34	Lowell 
55753.8661	0.836	70.88	3.58	-2.34	-127.31	2.35	-11.92	Lowell 
55815.8161	0.914	27.82	3.65	-10.66	-79.26	2.27	3.98	KPNO   
56234.6485	0.463	-62.81	3.47	0.08	1.40	2.22	-9.17	Lowell 
56235.6521	0.869	68.45	3.65	4.24	-95.52	2.39	11.54	Lowell 
56488.6784	0.297	-134.76	5.29	7.38	102.47	3.65	18.57	KPNO   
