#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55366.7480	0.647	102.97	1.83	-2.91	-107.74	2.66	-6.75	KPNO   
55366.8105	0.689	117.58	1.86	-3.80	-123.26	2.70	-4.70	KPNO   
55366.8592	0.721	126.10	1.85	-2.15	-137.69	2.67	-11.34	KPNO   
55366.9053	0.752	131.57	1.75	1.31	-127.27	2.53	1.36	KPNO   
55366.9560	0.785	127.75	1.80	0.42	-126.07	2.61	-0.75	KPNO   
55367.6647	0.254	-113.89	1.84	-1.40	140.99	2.66	-5.32	KPNO   
55367.7101	0.284	-111.51	1.79	-1.80	131.32	2.59	-11.85	KPNO   
55367.7512	0.312	-105.81	1.72	-2.26	125.23	2.50	-10.97	KPNO   
55730.9715	0.822	122.34	2.19	4.20	-113.90	3.07	1.02	KPNO   
55755.7130	0.205	-98.44	2.31	9.19	153.75	3.19	12.96	Lowell 
56077.7097	0.418	-36.80	3.00	14.11	77.62	4.15	1.01	KPNO   
56077.8145	0.487	5.01	1.78	5.70	14.07	2.55	-5.67	KPNO   
56077.9028	0.546	48.35	2.37	4.94	-31.32	3.38	-1.10	KPNO   
56522.9017	0.207	-87.67	2.92	20.38	143.03	3.94	1.76	KPNO   
