#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55368.8339	0.164	-68.39	1.19	2.41	129.39	19.68	-50.14	KPNO   
55368.9349	0.217	-74.35	1.24	3.02	39.07	0.0	0.0	KPNO   
55718.8555	0.236	-73.72	2.71	4.59	-8.64	0.0	0.0	Lowell 
55719.8914	0.784	25.45	2.86	-2.75	-256.29	31.55	1.12	Lowell 
55720.9486	0.343	-64.05	4.11	5.50	-99.07	0.0	0.0	Lowell 
55734.8661	0.702	29.56	1.64	2.58	-249.80	21.87	1.92	KPNO   
55734.9794	0.762	30.69	1.76	1.40	-247.63	22.82	14.48	KPNO   
55735.7758	0.183	-70.87	1.45	2.91	313.26	20.61	0.0	KPNO   
55735.9293	0.264	-78.49	1.64	-0.19	259.81	21.78	47.04	KPNO
55753.8980	0.765	51.57	3.05	22.37	-239.01	33.73	22.72	Lowell 
55754.7917	0.237	-82.85	1.49	-4.51	242.10	21.92	29.25	Lowell 
55755.8035	0.772	28.26	1.50	-0.64	-247.51	22.22	12.94	Lowell 
55755.9211	0.835	17.27	1.36	-4.72	-233.24	21.71	-3.06	Lowell 
56077.8059	0.030	-55.33	1.34	-20.74	38.86	19.50	20.04	KPNO   
56077.8979	0.078	-49.64	1.33	0.44	96.70	20.37	9.41	KPNO   
56234.6275	0.949	2.90	1.39	10.31	-98.16	20.76	3.15	Lowell 
56522.8612	0.351	-62.34	1.98	5.67	173.66	25.28	5.40	KPNO   
