#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55368.8052	0.336	-85.29	1.00	-1.34	65.41	18.18	-21.59	KPNO   
55730.8061	0.239	-86.84	1.14	0.28	113.78	18.39	2.63	KPNO   
55730.9330	0.310	-85.65	1.03	-0.06	94.81	17.28	-4.77	KPNO   
55731.7281	0.751	-38.62	1.04	2.91	-263.01	17.53	-22.72	KPNO   
55731.8407	0.813	-43.85	0.96	-0.54	-235.29	16.82	-8.57	KPNO   
55733.6766	0.832	-46.94	0.97	-2.43	-221.73	17.02	-4.17	KPNO   
55813.6510	0.216	-84.27	1.19	2.40	103.50	18.22	-4.11	KPNO   
56077.6931	0.755	-44.33	1.17	-2.79	-239.75	18.44	0.47	KPNO   
56077.7844	0.805	-39.48	1.05	3.42	-228.73	18.41	1.14	KPNO   
56077.8760	0.856	-46.22	1.05	0.21	-187.21	18.82	15.56	KPNO   
56082.6870	0.526	-63.15	1.42	-2.55	-138.48	21.19	0.0	KPNO   
