#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55367.7893	0.712	107.37	2.32	0.21	-132.96	2.58	-1.33	KPNO   
55367.8407	0.745	111.15	2.14	0.44	-135.20	2.40	-0.07	KPNO   
55367.9203	0.798	104.99	2.18	-0.24	-130.09	2.44	-0.39	KPNO   
55368.6683	0.290	-130.22	2.40	2.81	107.34	2.67	1.76	KPNO   
55368.7124	0.319	-125.74	2.47	-0.29	98.72	2.75	0.62	KPNO   
55383.8562	0.285	-129.37	3.42	4.54	109.14	3.73	2.68	Lowell 
55386.8193	0.235	-137.63	2.91	-1.25	105.04	3.20	-3.86	Lowell 
55402.9012	0.819	97.88	4.78	-1.55	-116.89	5.18	7.08	DAO    
55734.6810	0.162	-120.94	2.44	-2.28	92.48	2.71	1.06	KPNO   
55734.7988	0.240	-138.40	2.37	-1.73	107.29	2.63	-1.90	KPNO   
