#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55367.8007	0.201	-135.82	0.90	-0.53	82.91	14.87	1.67	KPNO   
55368.7557	0.762	44.45	0.95	-0.70	-189.56	15.26	-8.31	KPNO   
55431.8255	0.789	41.55	0.82	-1.10	-187.01	14.50	-9.39	KPNO   
55730.7169	0.262	-137.43	0.87	1.87	76.20	14.93	-10.91	KPNO   
55734.7762	0.645	27.39	0.79	1.32	-156.46	14.23	-3.02	KPNO   
55734.9169	0.728	44.87	0.82	0.35	-181.70	14.44	-1.39	KPNO   
55815.7410	0.178	-130.72	0.88	-0.48	72.53	14.64	-1.37	KPNO   
55815.8400	0.236	-140.36	0.90	-1.15	75.52	15.16	-11.44	KPNO  
