#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55366.6888	0.372	-52.25	1.00	2.99	49.19	18.66	0.0	KPNO   
55367.7378	0.224	-62.41	1.01	-1.69	183.41	18.70	-20.29	KPNO   
55402.7936	0.693	-20.23	3.76	0.96	-287.20	41.10	-14.98	DAO    
55402.8543	0.742	-20.25	3.95	-0.34	-484.18	0.0	0.0	DAO    
55402.8773	0.761	-23.37	4.07	-3.43	-519.73	0.0	0.0	DAO    
55402.9264	0.801	-19.69	3.89	1.24	-295.27	42.40	-19.93	DAO    
55403.8815	0.577	-38.56	1.26	-7.63	-115.94	19.64	38.98	Lowell 
55403.8971	0.589	-24.14	3.83	5.37	-17.12	0.0	0.0	DAO    
55404.7169	0.255	-65.40	3.92	-4.42	185.33	42.79	-21.56	DAO    
55404.7804	0.307	-65.47	3.84	-5.76	181.53	41.97	-10.02	DAO    
55404.8468	0.360	-51.02	3.89	5.22	172.40	42.36	22.65	DAO    
55405.9783	0.279	-67.25	3.92	-6.61	216.17	42.76	13.37	DAO    
55406.7834	0.933	-29.76	3.92	2.30	-50.80	0.0	0.0	DAO    
55431.7377	0.199	-56.54	0.97	3.40	187.45	18.00	-6.87	KPNO   
55431.8157	0.262	-62.90	1.09	-1.97	180.02	18.71	-26.27	KPNO   
55463.7831	0.223	-51.27	1.18	9.43	206.48	19.04	2.99	Lowell 
55753.8456	0.785	-22.34	1.37	-1.95	-285.25	20.70	-3.41	Lowell 
