#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55369.8314	0.539	19.45	1.12	-2.82	-31.14	5.99	-5.99	KPNO   
55731.7920	0.079	-23.59	1.16	9.22	70.93	6.15	14.17	KPNO   
55733.8698	0.507	5.13	1.00	-1.77	37.34	0.0	0.0	KPNO   
55751.9310	0.226	-60.50	1.27	11.68	105.65	6.37	-9.79	Lowell 
55814.7987	0.173	-66.28	1.13	-2.11	105.65	5.95	2.16	KPNO   
56078.8130	0.542	18.20	1.21	-5.50	-36.11	6.58	-8.82	KPNO   
56078.9811	0.577	34.99	1.24	-4.21	-60.92	6.76	-10.54	KPNO   
56081.7235	0.141	-58.81	1.97	-2.92	92.63	8.45	1.48	KPNO   
56081.8969	0.177	-65.01	1.49	0.14	83.35	7.17	-21.60	KPNO   
56082.8570	0.375	-50.29	1.17	0.32	76.65	6.23	-6.72	KPNO   
56234.5997	0.624	59.56	1.36	2.09	-66.29	6.91	11.30	Lowell 
56235.6362	0.837	69.15	1.40	0.06	-113.76	6.79	-18.78	Lowell 
56487.8960	0.786	85.86	1.35	7.49	-102.83	6.79	5.96	KPNO   
