#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55369.8095	0.926	46.42	2.37	-12.50	-50.15	2.66	-21.28	KPNO   
55732.8746	0.801	97.25	1.97	-7.47	-88.99	2.21	-8.22	KPNO   
55813.6718	0.701	107.10	1.78	2.04	-77.34	2.00	3.75	KPNO   
55813.8059	0.745	112.44	1.89	3.10	-82.15	2.13	3.83	KPNO   
56077.8358	0.649	99.89	1.76	8.40	-57.27	1.98	8.39	KPNO   
56077.9455	0.685	104.74	1.86	2.83	-72.59	2.09	4.91	KPNO   
56079.7246	0.277	-73.92	1.90	-2.29	119.99	2.13	0.60	KPNO   
56079.8997	0.336	-57.54	1.85	2.53	105.59	2.08	-0.72	KPNO   
56082.7363	0.280	-71.29	1.88	0.06	119.89	2.11	0.81	KPNO   
56486.6881	0.767	101.51	2.49	-7.33	-97.83	2.76	-12.40	KPNO   
56486.8539	0.822	89.90	3.12	-10.19	-82.38	3.45	-6.85	KPNO   
56487.9584	0.190	-91.03	2.05	0.0	93.66	2.29	0.0	KPNO   
