#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55367.8272	0.050	-53.55	1.86	-2.69	15.81	3.09	-1.19	KPNO   
55369.6535	0.802	77.14	1.82	2.93	-136.62	2.91	-3.94	KPNO   
55369.7182	0.829	67.75	1.85	0.22	-127.12	3.01	-2.39	KPNO   
55404.7418	0.257	-119.37	3.68	0.24	97.24	6.17	-2.59	DAO    
55404.8035	0.282	-107.75	3.72	9.91	94.84	6.23	-2.72	DAO    
55404.8843	0.316	-102.28	3.94	9.09	85.14	6.64	-4.96	DAO    
55405.8834	0.727	80.67	3.86	2.15	-122.36	6.53	15.29	DAO    
55405.9557	0.757	74.28	4.25	-5.17	-131.60	7.07	7.25	DAO    
55432.8041	0.817	74.21	1.57	3.37	-136.59	2.64	-7.92	KPNO   
55717.8019	0.221	-115.89	2.06	2.18	104.71	3.23	6.82	Lowell 
55733.6676	0.757	81.70	1.57	2.25	-140.85	2.58	-2.00	KPNO   
55734.6699	0.170	-122.62	1.71	-15.28	94.25	2.78	9.35	KPNO   
56077.7444	0.498	-25.91	1.64	-4.87	-21.01	2.65	-3.07	KPNO   
56077.8710	0.551	4.41	1.96	-6.67	-60.89	3.22	-4.43	KPNO   
