#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55366.8248	0.648	87.30	1.52	2.58	-132.52	4.89	1.50	KPNO   
55366.8735	0.694	109.84	1.39	8.57	-147.14	4.60	7.89	KPNO   
55366.9337	0.751	110.76	1.43	2.08	-158.92	4.65	5.64	KPNO   
55369.6616	0.320	-122.52	1.51	-0.37	138.39	4.78	11.14	KPNO   
55406.7586	0.253	-129.88	2.48	3.62	131.18	8.81	-10.21	DAO    
55406.8217	0.312	-116.15	2.61	8.19	117.39	9.23	-12.60	DAO    
55432.7569	0.735	105.45	1.22	-2.70	-167.05	4.19	-3.21	KPNO   
55432.7894	0.766	107.03	1.64	-1.08	-167.01	4.98	-3.14	KPNO   
55432.7978	0.773	104.05	1.24	-3.32	-169.00	4.23	-6.03	KPNO   
55432.8707	0.842	84.01	1.35	-4.95	-144.24	4.46	-4.35	KPNO   
55730.6861	0.288	-128.97	1.28	1.05	135.85	4.32	-1.25	KPNO   
55733.7740	0.196	-129.82	1.30	-3.16	132.06	4.36	-0.53	KPNO   
56235.6171	0.771	109.11	1.60	1.46	-159.60	4.89	3.71	Lowell 
