#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55366.7614	0.296	-76.26	2.44	0.20	99.74	2.78	3.19	KPNO   
55368.7913	0.718	99.58	2.44	5.32	-80.43	2.77	2.89	KPNO   
55368.8630	0.733	92.91	2.49	-2.61	-86.16	2.82	-1.49	KPNO   
55368.9200	0.745	95.19	2.55	-0.79	-90.33	2.89	-5.17	KPNO   
55368.9649	0.754	93.03	2.40	-2.97	-84.50	2.74	0.68	KPNO   
55402.9316	0.818	63.72	3.38	0.0	-83.08	3.85	-6.08	Lowell 
55431.7764	0.816	91.93	2.75	3.37	-74.31	3.13	3.08	KPNO   
55431.8614	0.834	85.99	3.02	1.86	-67.76	3.42	4.98	KPNO   
55731.8001	0.207	-74.64	2.44	2.25	101.33	2.78	4.39	KPNO   
55734.7638	0.823	89.32	2.61	2.45	-75.34	2.97	0.28	KPNO   
55813.7096	0.240	-80.28	2.47	-0.35	96.56	2.80	-3.61	KPNO   
55813.8211	0.263	-81.26	2.40	-1.48	98.14	2.72	-1.89	KPNO   
55813.8798	0.276	-79.91	2.59	-0.95	96.81	2.92	-2.36	KPNO  
