#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55367.6938	0.318	-117.36	2.36	0.10	102.52	2.04	-2.46	KPNO   
55368.6869	0.776	119.45	2.20	-0.43	-117.70	1.89	-1.60	KPNO   
55368.7235	0.793	117.46	2.31	0.47	-110.14	2.00	3.26	KPNO   
55368.7705	0.815	113.54	2.42	2.25	-107.04	2.09	1.05	KPNO   
55368.8208	0.838	96.91	2.27	-5.92	-102.74	1.96	-2.53	KPNO   
55369.6816	0.236	-130.78	2.27	-2.70	112.84	1.97	-2.03	KPNO   
55369.7259	0.257	-126.56	2.39	1.88	118.03	2.08	2.82	KPNO   
55369.7869	0.285	-122.38	2.34	3.19	115.63	2.03	3.09	KPNO   
55369.8234	0.302	-121.19	2.24	0.83	108.25	1.94	-0.97	KPNO   
55434.8181	0.338	-113.02	2.33	-2.92	97.98	2.01	-0.14	KPNO   
55449.9141	0.314	-104.95	2.45	0.0	134.64	2.13	0.0	Lowell 
55463.8100	0.736	133.77 	2.55	12.68	-104.76	2.23	12.47	Lowell 
55755.9599	0.746	114.08	2.47	-7.49	-128.96	2.14	-11.29	Lowell  
