#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55366.699	0.311	-119.60	2.69	0.04	150.61	2.42	2.05	KPNO   
55366.7364	0.345	-109.15	2.74	-3.99	133.87	2.46	-0.16	KPNO   
55366.7978	0.402	-65.13	3.56	3.93	97.13	3.20	-0.74	KPNO   
55366.8468	0.448	-37.60	3.59	-5.25	67.83	3.22	6.71	KPNO   
55367.8523	0.385	-76.86	3.37	4.50	103.92	3.03	-6.27	KPNO   
55403.7707	0.856	123.58	6.74	-3.64	-98.89	6.17	-0.74	DAO    
55434.7970	0.769	159.65	2.79	2.49	-127.60	2.52	0.61	KPNO   
55730.7776	0.586	97.18	3.41	8.80	-69.47	3.06	-9.85	KPNO   
55813.6353	0.799	152.53	2.56	1.21	-122.11	2.29	0.21	KPNO   
55813.6860	0.847	138.02	2.66	5.56	-100.69	2.38	2.70	KPNO   
55814.7846	0.870	117.61	3.55	-1.31	-86.89	3.21	2.94	KPNO   
55814.8490	0.930	75.85	3.53    0.70	-46.86	3.16	-0.86	KPNO   
55815.7578	0.777	150.55	2.49   -5.53	-128.62	2.22	-1.51	KPNO   
55815.8236	0.839	131.60	2.58   -4.85	-108.36	2.31	-0.97	KPNO   
55815.8822	0.893	102.24	3.57   -1.47	-69.27	3.21	5.32	KPNO
