#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55369.8616	0.861	67.22	1.54	1.32	-77.12	4.97	4.04	KPNO   
55730.7617	0.280	-58.16	1.75	-0.28	88.55	5.41	-2.19	KPNO   
55730.9522	0.317	-54.17	1.63	-1.10	93.73	5.08	9.65	KPNO   
55735.7825	0.232	-58.10	1.61	0.63	90.43	5.04	-1.47	KPNO   
55814.8837	0.228	-58.36	1.51	0.15	87.06	4.81	-4.54	KPNO   
56081.7320	0.817	72.68	1.35	-3.50	-88.22	4.47	7.19	KPNO   
56081.9505	0.859	68.91	1.38	2.39	-93.48	4.56	-11.46	KPNO   
56486.7817	0.607	61.50	4.31	5.86	-69.28	12.57	-2.50	KPNO   
