#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55368.8406	0.949	31.76	1.61	-6.10	-17.24	3.75	4.23	KPNO   
55733.7069	0.185	-68.24	1.42	3.07	105.74	3.30	1.18	KPNO   
56078.6839	0.721	99.55	1.58	2.23	-87.95	3.56	2.56	KPNO   
56078.8019	0.748	96.12	1.50	-2.71	-97.68	3.51	-5.47	KPNO   
56078.9259	0.778	100.86	1.58	3.37	-83.26	3.64	7.35	KPNO   
56082.7124	0.673	95.44	2.66	6.86	-86.52	5.46	-6.03	KPNO   
56082.9033	0.718	96.06	1.52	-0.97	-94.05	3.53	-3.87	KPNO   
56486.8086	0.181	-79.90	3.59	-9.68	92.06	7.30	-11.25	KPNO   
