#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55366.9202	0.911	35.87	2.04	-6.08	-115.52	12.26	15.65	KPNO   
55730.7454	0.641	88.99	1.92	13.48	-166.36	12.06	7.18	KPNO   
55733.7577	0.995	-37.62	1.93	-9.35	-139.31	12.50	0.0	KPNO   
55733.8014	0.073	-96.79	1.94	-2.75	44.89	12.09	-3.10	KPNO   
55733.8524	0.164	-152.52	1.76	-0.88	140.86	10.92	16.49	KPNO   
55735.7213	0.486	-23.78	2.18	20.85	46.25	12.61	0.0	KPNO   
56486.9044	0.778	99.41	3.65	-5.53	-196.89	17.95	16.45	KPNO   
56488.8791	0.288	-161.16	1.79	6.52	150.91	11.05	4.46	KPNO   
56521.9127	0.008	-63.89	2.29	-24.67	28.52	12.63	0.0	KPNO   
