#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55368.8775	0.404	-30.09	1.68	-3.41	93.01	9.27	12.59	KPNO   
55734.7169	0.383	-29.15	1.59	1.40	91.06	8.89	-4.86	KPNO   
55735.7537	0.743	31.71	2.18	-0.37	-164.78	11.37	-8.84	KPNO   
55813.7689	0.821	31.49	1.39	3.08	-122.71	8.02	18.75	KPNO   
55813.8563	0.852	25.49	1.79	0.77	-110.47	9.43	16.25	KPNO   
56077.7209	0.436	-21.67	1.63	-1.64	81.70	9.00	27.92	KPNO   
56078.8888	0.842	24.27	1.52	-1.79	-132.31	8.68	-0.24	KPNO   
56078.9460	0.862	21.47	1.52	-1.81	-122.91	8.56	-1.98	KPNO   
56082.9251	0.243	-43.65	1.35	-0.75	153.88	8.01	8.78	KPNO   
56488.9395	0.166	-31.68	2.04	6.15	125.18	10.57	0.65	KPNO
