#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55367.8833	0.677	105.21	2.29	2.21	-177.36	2.47	-5.36	sKPNO   
55368.8993	0.744	118.12	2.45	-0.37	-187.33	2.63	0.88	KPNO   
55369.9149	0.810	106.15	2.32	-1.79	-176.76	2.49	0.31	KPNO   
55400.8167	0.257	-184.38	5.83	-1.19	120.40	6.18	-8.21	DAO    
55401.7965	0.286	-182.94	5.96	-3.44	118.72	6.32	-6.00	DAO    
55402.8081	0.348	-148.92	3.61	6.61	58.41	3.86	-41.08	Lowell 
55431.7241	0.710	117.18	2.58	3.31	-182.84	2.77	0.55	KPNO   
55718.8795	0.224	-166.66	3.71	14.69	133.98	3.94	7.26	Lowell 
55720.8708	0.315	-294.39	21.78	0.0	-86.57	23.01	0.0	Lowell 
55735.8420	0.035	-82.95	3.54	-17.80	31.13	3.79	26.34	KPNO   
