#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55367.6794	0.795	19.02	0.82	-1.07	-185.04	7.37	-0.91	KPNO   
55431.7621	0.813	22.26	0.81	3.55	-181.41	7.50	-3.99	KPNO   
55431.8984	0.852	18.37	1.33	3.91	-202.87	9.16	0.0	KPNO   
55733.7205	0.716	21.42	0.85	0.71	-190.98	7.29	-4.28	KPNO   
55733.8419	0.750	24.96	0.78	3.45	-183.68	6.99	7.18	KPNO   
55733.9739	0.788	20.02	0.80	-0.49	-187.18	7.14	-0.97	KPNO   
55735.8491	0.315	-47.38	0.82	-0.38	137.43	7.44	-10.98	KPNO   
55815.7715	0.787	19.20	0.76	-1.35	-201.03	7.14	-14.67	KPNO   
56077.8246	0.470	-18.68	1.09	2.30	43.59	8.72	23.11	KPNO   
56077.9122	0.494	-18.94	0.97	-3.44	24.05	7.95	30.68	KPNO   
56078.7239	0.722	17.92	1.07	-3.05	-181.66	8.31	6.36	KPNO   
56078.8197	0.749	17.88	0.80	-3.63	-184.16	7.45	6.69	KPNO   
56521.9758	0.354	-40.94	1.27	1.68	24.61	0.0	0.0	KPNO  
