#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55366.6695	0.760	17.11	1.35	2.58	-160.77	6.28	4.03	KPNO   
55366.7134	0.770	21.77	1.30	7.48	-154.67	6.14	9.33	KPNO   
55368.8540	0.239	-68.49	1.30	-0.01	112.26	6.15	2.97	KPNO   
55368.9108	0.252	-67.63	1.50	0.95	108.94	6.67	-0.67	KPNO   
55402.8063	0.678	9.53	2.89	-0.85	-145.94	11.62	5.14	DAO    
55403.9029	0.918	-20.40	1.39	-13.96	-110.81	6.29	-15.20	Lowell 
55403.9348	0.925	-8.60	2.96	-0.55	-97.99	12.12	-7.69	DAO    
55404.9061	0.138	-50.47	3.06	8.16	72.79	12.03	-3.93	DAO    
55405.8383	0.342	-54.51	3.28	7.33	87.10	12.80	-0.31	DAO    
55406.8371	0.561	-15.09	2.97	-3.58	-89.61	11.78	-10.84	DAO    
55432.7658	0.241	-67.75	1.19	0.77	118.67	5.70	9.27	KPNO   
55432.8145	0.252	-67.06	1.13	1.52	116.87	5.59	7.27	KPNO   
55432.8620	0.262	-71.66	1.18	-3.21	97.69	5.69	-11.51	KPNO   
55731.7078	0.736	17.85	1.37	3.40	-166.20	6.22	-1.69	KPNO   
55733.6955	0.171	-61.45	1.28	2.11	89.82	6.01	-3.14	KPNO   
55754.7615	0.786	6.81	1.75	-6.73	-159.65	7.08	1.92	Lowell 
