#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55369.7756	0.798	33.28	0.96	-2.89	-152.25	11.03	-13.22	KPNO   
55732.9539	0.077	-14.99	0.92	0.47	75.04	10.66	5.58	KPNO   
55735.7364	0.991	6.13	0.83	2.61	77.77	0.0	0.0	KPNO   
55735.9594	0.064	-11.45	1.01	1.36	101.93	11.84	0.0	KPNO   
55751.8454	0.282	-33.57	1.06	0.60	127.35	11.14	-18.23	Lowell 
55813.7240	0.605	27.93	0.85	4.29	-84.83	10.19	3.08	KPNO   
56078.7384	0.644	29.36	0.95	-0.62	-113.42	10.48	0.19	KPNO   
56079.8097	0.996	3.83	0.89	1.36	64.65	0.0	0.0	KPNO   
56079.9468	0.041	-12.40	1.03	-4.69	92.58	11.41	0.0	KPNO   
56081.6945	0.615	28.32	1.36	2.91	-103.87	12.93	-8.81	KPNO   
56081.8717	0.673	32.60	0.95	-1.00	-159.99	10.98	-31.69	KPNO   
56082.9143	0.015	-8.12	0.91	-6.11	110.69	10.73	0.0	KPNO   
56488.7904	0.318	-26.80	1.44	4.84	-102.96	13.23	0.0	KPNO   
56521.9511	0.209	-35.09	1.09	-1.41	138.24	11.18	-5.13	KPNO   
