#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55368.7394	0.259	-126.23	1.12	0.58	117.60	4.41	10.14	KPNO   
55432.8240	0.766	72.68	1.46	-0.23	-169.61	5.22	-9.00	KPNO   
55432.8843	0.792	68.94	1.29	-0.90	-159.20	4.87	-2.69	KPNO   
55730.6977	0.268	-125.06	1.23	1.29	119.08	4.64	12.23	KPNO   
55730.8556	0.338	-110.49	1.28	1.55	76.14	4.74	-11.54	KPNO   
55731.7710	0.745	74.22	1.08	0.87	-163.24	4.24	-2.04	KPNO   
55732.8019	0.204	-125.64	1.33	-2.87	108.96	4.84	6.93	KPNO   
55732.9084	0.251	-127.84	1.22	-0.87	116.41	4.58	8.73	KPNO   
55733.8769	0.682	64.17	1.09	-0.20	-132.43	4.32	16.70	KPNO   
55814.8067	0.682	64.32	1.12	0.02	-123.65	4.63	25.38	KPNO  
