# # bjd 	 phase 	 raw_flux 	 raw_err 	 corr_flux 	 corr_err 	 dtr_flux 	 dtr_err
5.546319601854999928e+04 7.380120000000000013e-01 4.800000000000000122e-05 7.463070000000000537e-01 4.899999999999999842e-05 7.409470000000000223e-01 4.800000000000000122e-05
5.546321645149999677e+04 8.247499999999999831e-01 4.899999999999999842e-05 8.340039999999999676e-01 4.899999999999999842e-05 8.280300000000000438e-01 4.899999999999999842e-05
5.546323688453999785e+04 9.014499999999999735e-01 4.899999999999999842e-05 9.115309999999999802e-01 4.899999999999999842e-05 9.050359999999999516e-01 4.899999999999999842e-05
5.546325731739000184e+04 9.611110000000000486e-01 4.899999999999999842e-05 9.718130000000000379e-01 5.000000000000000240e-05 9.649349999999999872e-01 4.899999999999999842e-05
5.546327775033999933e+04 9.928430000000000311e-01 5.000000000000000240e-05 1.003867999999999983e+00 5.000000000000000240e-05 9.967939999999999579e-01 5.000000000000000240e-05
5.546329818338000041e+04 9.960879999999999734e-01 5.000000000000000240e-05 1.007084000000000090e+00 5.099999999999999960e-05 1.000051999999999941e+00 5.000000000000000240e-05
5.546331861622999713e+04 9.961999999999999744e-01 5.000000000000000240e-05 1.007193999999999923e+00 5.099999999999999960e-05 1.000166000000000111e+00 5.000000000000000240e-05
5.546333904916999745e+04 9.962600000000000344e-01 5.099999999999999960e-05 1.007206999999999963e+00 5.099999999999999960e-05 1.000226000000000059e+00 5.099999999999999960e-05
5.546335948222000297e+04 9.962010000000000032e-01 5.099999999999999960e-05 1.007150999999999907e+00 5.199999999999999680e-05 1.000167999999999946e+00 5.099999999999999960e-05
5.546337991506000253e+04 9.964490000000000292e-01 5.199999999999999680e-05 1.007355999999999918e+00 5.199999999999999680e-05 1.000418000000000029e+00 5.199999999999999680e-05
5.546340034800000285e+04 9.965209999999999901e-01 5.199999999999999680e-05 1.007379999999999942e+00 5.199999999999999680e-05 1.000491000000000019e+00 5.199999999999999680e-05
5.546344121399000142e+04 9.968609999999999971e-01 5.300000000000000078e-05 1.007705000000000073e+00 5.300000000000000078e-05 1.000833000000000084e+00 5.300000000000000078e-05
5.546346164683000097e+04 9.969130000000000491e-01 5.300000000000000078e-05 1.007759000000000071e+00 5.399999999999999798e-05 1.000885999999999942e+00 5.300000000000000078e-05
5.546348207987999922e+04 9.971360000000000223e-01 5.300000000000000078e-05 1.007948000000000066e+00 5.399999999999999798e-05 1.001111000000000084e+00 5.300000000000000078e-05
5.546350251281999954e+04 9.971980000000000288e-01 5.399999999999999798e-05 1.008022999999999891e+00 5.399999999999999798e-05 1.001173000000000091e+00 5.399999999999999798e-05
5.546352294565999910e+04 9.973199999999999843e-01 5.399999999999999798e-05 1.008135999999999921e+00 5.500000000000000196e-05 1.001297000000000104e+00 5.399999999999999798e-05
5.546354337870000018e+04 9.974539999999999518e-01 5.399999999999999798e-05 1.008242000000000083e+00 5.500000000000000196e-05 1.001432000000000100e+00 5.399999999999999798e-05
5.546356381154999690e+04 9.976420000000000288e-01 5.500000000000000196e-05 1.008434999999999970e+00 5.500000000000000196e-05 1.001621000000000095e+00 5.500000000000000196e-05
5.546358424458999798e+04 9.976490000000000080e-01 5.500000000000000196e-05 1.008416999999999897e+00 5.599999999999999916e-05 1.001629000000000103e+00 5.500000000000000196e-05
5.546360467752999830e+04 9.978050000000000530e-01 5.500000000000000196e-05 1.008578999999999892e+00 5.599999999999999916e-05 1.001786000000000065e+00 5.500000000000000196e-05
5.546362511036999786e+04 9.980029999999999735e-01 5.599999999999999916e-05 1.008747999999999978e+00 5.599999999999999916e-05 1.001984999999999904e+00 5.599999999999999916e-05
5.546364554340999894e+04 9.981980000000000297e-01 5.599999999999999916e-05 1.008944000000000063e+00 5.700000000000000314e-05 1.002180999999999989e+00 5.599999999999999916e-05
5.546366597634999926e+04 9.983910000000000284e-01 5.599999999999999916e-05 1.009134999999999893e+00 5.700000000000000314e-05 1.002375999999999934e+00 5.599999999999999916e-05
5.546368640918999881e+04 9.984290000000000109e-01 5.599999999999999916e-05 1.009131000000000000e+00 5.700000000000000314e-05 1.002413999999999916e+00 5.599999999999999916e-05
5.546370684222999989e+04 9.986000000000000432e-01 5.599999999999999916e-05 1.009314999999999962e+00 5.700000000000000314e-05 1.002586999999999895e+00 5.599999999999999916e-05
5.546372727517000021e+04 9.986890000000000489e-01 5.599999999999999916e-05 1.009365999999999985e+00 5.700000000000000314e-05 1.002677000000000040e+00 5.599999999999999916e-05
5.546374770800999977e+04 9.987840000000000051e-01 5.599999999999999916e-05 1.009506999999999932e+00 5.700000000000000314e-05 1.002771999999999997e+00 5.599999999999999916e-05
5.546376814105000085e+04 9.990200000000000191e-01 5.599999999999999916e-05 1.009719999999999951e+00 5.700000000000000314e-05 1.003009999999999957e+00 5.599999999999999916e-05
5.546378857399000117e+04 9.990419999999999856e-01 5.599999999999999916e-05 1.009740000000000082e+00 5.700000000000000314e-05 1.003031999999999924e+00 5.599999999999999916e-05
5.546380900683000073e+04 9.992919999999999581e-01 5.599999999999999916e-05 1.009978999999999960e+00 5.700000000000000314e-05 1.003284000000000065e+00 5.599999999999999916e-05
5.546382943985999736e+04 9.993729999999999558e-01 5.599999999999999916e-05 1.010029000000000066e+00 5.700000000000000314e-05 1.003365999999999980e+00 5.599999999999999916e-05
5.546384987279999768e+04 9.993880000000000541e-01 5.599999999999999916e-05 1.010059999999999958e+00 5.700000000000000314e-05 1.003381000000000078e+00 5.599999999999999916e-05
